Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f21ef098-e3a4-6f02-27f6-f91a81458cb7,2024-07-02,,999-62-7257,,,,Ira784,,Batz141,,,,white,nonhispanic,M,Whitman  Massachusetts  US,295 Christiansen Manor,New Bedford,Massachusetts,Bristol County,25005,02744,41.68528683536605,-70.95858691435856,200.00,5391.18,1099
29bb2499-6d07-3531-bfa9-a5d7e2dff1e1,1986-10-10,,999-70-5836,S99960467,X34106990X,Mr.,Cleo27,Jeremiah751,Mohr916,,,M,white,nonhispanic,M,Dartmouth  Massachusetts  US,849 Murphy Passage Suite 60,Springfield,Massachusetts,Hampden County,25013,01109,42.06167817856911,-72.54842181908982,6321.10,67397.18,12006
cdfc411c-e64b-08f0-be32-7318a6465e3f,2019-09-08,,999-49-3876,,,,Gabriel934,Augustus49,Daniel959,,,,white,nonhispanic,M,Boxborough  Massachusetts  US,316 Haley Alley,Worcester,Massachusetts,Worcester County,25027,01604,42.22582001809136,-71.85341535782474,21202.13,822.78,84431
e411cc97-042d-d13b-d69c-07b58b6f50a4,2009-09-09,,999-29-3782,S99961266,,,Ligia986,Devorah937,Sawayn19,,,,white,nonhispanic,F,Plainville  Massachusetts  US,251 Welch Rest Suite 55,Hingham,Massachusetts,Plymouth County,25023,02043,42.20560094028104,-70.91849115396053,28697.48,18079.14,55284
949c5a7c-95d8-eb7a-2d3e-f8e1c2651e84,1971-08-14,,999-44-1687,S99977465,X81888021X,Mrs.,Adriana394,Lizabeth515,Bins636,,Russel238,M,white,nonhispanic,F,Dracut  Massachusetts  US,149 Buckridge Street Suite 14,Whitman,Massachusetts,Plymouth County,,00000,42.075470674453314,-70.903583311883,763032.44,399290.22,84780
97d2dad3-9c56-fd69-a385-b481f7184e55,2001-11-11,,999-53-4244,S99965430,X66906599X,Ms.,Emilia403,,León820,,,,white,hispanic,F,Carolina  Puerto Rico  PR,181 Hickle Lodge Apt 24,Millis,Massachusetts,Norfolk County,,00000,42.223070938942314,-71.38997441637835,104282.52,26475.85,173617
5a61a4ad-2d74-7d98-5588-aa5540ddde67,1973-09-28,,999-26-9811,S99941943,X9740066X,Mrs.,Rossie247,,O'Hara248,,Auer97,D,white,nonhispanic,F,New Braintree  Massachusetts  US,345 Grant Corner Apt 14,Lowell,Massachusetts,Middlesex County,25017,01854,42.67202898652295,-71.33182683594532,163286.68,646327.61,218599
317e2c9f-33ad-5bcd-d97e-df6fb498d88a,1947-01-04,,999-36-6465,S99996531,X25100038X,Mr.,Aaron697,,Dicki44,,,M,white,nonhispanic,M,Waltham  Massachusetts  US,894 Hodkiewicz Estate,Methuen,Massachusetts,Essex County,25009,01844,42.75479447782964,-71.21531513812597,196654.64,717437.02,175680
edf2ac04-38ae-4838-1112-9c02c9c784e3,1995-05-09,,999-54-9647,S99933711,X12792704X,Mrs.,Nancy265,Oma395,Beahan375,JD,Heathcote539,M,white,nonhispanic,F,Norwood  Massachusetts  US,965 Hamill Terrace,Norwood,Massachusetts,Norfolk County,25021,02062,42.23368624536003,-71.21711024327634,140327.55,238027.50,56595
28aeb0a2-9eea-b78e-b2e1-6a88fd777f48,1989-03-05,,999-50-5886,S99970065,X68176452X,Mrs.,Dorthey25,,Blanda868,,Weissnat378,M,white,nonhispanic,F,Lowell  Massachusetts  US,405 Schroeder Wynd,Salem,Massachusetts,Essex County,25009,01907,42.50849309354347,-70.87335384276345,9086.24,451414.45,7041
047e8935-3832-5f36-24a8-d6a9e2792506,2000-02-02,,999-78-4641,S99943420,X50032007X,Ms.,Reta616,Dawn804,Ondricka197,,,,white,nonhispanic,F,Fall River  Massachusetts  US,671 Konopelski Fork,Boston,Massachusetts,Suffolk County,25025,02119,42.334086472801616,-71.14563349742548,352375.66,0.00,118697
fbd6d8e3-892a-9e7e-ec03-ad5e247a0497,1955-04-17,2008-08-21,999-10-5690,S99929189,X34709178X,Mrs.,Divina723,Janean397,Dietrich576,,Luettgen772,M,white,nonhispanic,F,Middleborough  Massachusetts  US,655 Wiegand Divide Suite 72,Plymouth,Massachusetts,Plymouth County,25023,02360,41.87676911219602,-70.64324359687002,966803.73,142206.12,69799
75dcb38b-00a6-b484-9e66-b63871259471,1975-02-27,2021-04-30,999-46-2265,S99951310,X87633778X,Mrs.,Coralie787,Dannielle300,Will178,,Bauch723,M,white,nonhispanic,F,Bernardston  Massachusetts  US,561 Mitchell Promenade Unit 1,New Bedford,Massachusetts,Bristol County,25005,02740,41.602703443778054,-70.98604911701212,204704.67,603951.69,29543
ebc93bd0-a6c5-63f9-1e93-266bf2cadebd,1997-10-23,,999-72-1001,S99994219,X53810167X,Mrs.,Jerri638,,Botsford977,,Ward668,M,other,hispanic,F,Burlington  Massachusetts  US,1026 Heaney Byway,Chicopee,Massachusetts,Hampden County,25013,01020,42.14586787767969,-72.57289595314491,153626.22,255557.20,47268
deabdc26-66df-d15a-f10b-ab2f811b8495,1980-12-24,,999-48-1468,S99912992,X52066125X,Mr.,Daren950,Ray930,Willms744,,,M,white,nonhispanic,M,Attleboro  Massachusetts  US,775 Dare Bridge,Sutton,Massachusetts,Worcester County,,00000,42.17820699877092,-71.78070491177483,96937.14,26690.17,40092
15d51dc9-4fa7-9bc8-a9cc-67c7b8904383,1971-11-13,,999-80-8484,S99961911,X16921854X,Mrs.,Beatrice15,Judie557,Rutherford999,,Hackett68,M,white,nonhispanic,F,Stoneham  Massachusetts  US,164 Trantow Quay Unit 55,Canton,Massachusetts,Norfolk County,,00000,42.205373777906644,-71.0920148417086,859889.69,843773.23,44387
